year,party,debate,candidate,text,text_noun
2015,gop,2,BUSH,"  i'm jebbush, and i believe america's on the verge of its greatest century, and i'm ready to lead. i'm a committed, conservative reformer that cut taxes, that balanced budgets, that took on the special interest in florida, and we won. i look forward to talking tonight about how we can fix a broken washington d.c., and create an environment where people can rise up again in this great country. thank you. i think the voters will make that determination. but what i know to be true is that the next president of the unitedstates is going to have to fix an extraordinary difficult situation. this administration, with obama and clinton, has created insecurity the likes of which we never would've imagined. there's not a place in the world where we're better off today than six and a half years ago. and that requires a steadiness. that requires an understanding of how the world works. that requires an understanding and appreciation of american leadership in the world. you can't just, you know, talk about this stuff and insult leaders around the world and expect a good result.",
2015,gop,2,BUSH," you have to do this with a steady hand, and i believe i have those skills. walker jake, this is this is this is  no. absolutely not. people are supporting me because i have a proven record of conservative leadership where i cut taxes $19 billion over eight years. we shrunk the state government workforce, we created a climate that led the nation in job growth seven out of eight years. we were one of two states to go to aaa bond rating. people know that we need principle-centered leadership, a disrupter to go to washington, d.c. the one guy that had some special interests that i know of that tried to get me to change my views on something that was generous and gave me money was trump. he wanted casino gambling in florida  yes you did. you wanted it and you didn't get it because i was opposed to  casino gambling before  during and after. and that's not i'm not going to be bought by anybody. no way. believe me. not even possible. you've got, according to your to what you said on one of the talk shows, you got clinton to go to your wedding  because you gave her money.",
2015,gop,2,BUSH," maybe it works for clinton  it doesn't work for anybody on this on stage. but the simple fact is  no. the simple fact is, donald, you could not take  i was asked the question. so he supports pelosi, he supports schumer, he supports clinton  when he and he when he asked when he asked florida to have casino gambling, we said no. we said no. and that's the simple fact. the simple fact is  don't cut me off. no, i don't think so, but we need to be strong against china. we should use offensive tactics as it relates to cyber security, send a deterrent signal to china. there should be super sanctions in what obama has proposed. there's many other tools that we have without canceling a dinner. that's not going to change anything, but we can be much stronger as it relates to that. as it relates to iran, it's not a strategy to tear up an agreement. a strategy would be how do we confront iran? and, the first thing that we need to do is to establish our commitment to israel which has been altered by this administration.",
2015,gop,2,BUSH," and, make sure that they have the most sophisticated weapons to send a signal to iran that we have israel's back. if we do that, it's going to create a healthier deterrent effect than anything else i can think of. i don't think you're not stating my views right. i think there needs to be accommodation for someone acting on faith. religious conscience is is is a first freedom. it's it's a powerful part of our of our bill of rights. and, in a big, tolerant country, we should respect the rule of law, allow people in in in this country i'm a i was opposed to the decision, but we you can't just say, well, they gays can't get married now. but this woman, there should be some accommodation for her conscience, just as there should be for people that are florists that don't want to participate in weddings, or bakers. a great country like us should find a way to have accommodations for people so that we can solve the problem in the right way. this should be solved at the local level  and so we do agree, mike.",
2015,gop,2,BUSH," well, he's wrong on a lot of things, but on this he's wrong because i'm the most pro-life governor on this stage. i got to act on my core beliefs. it's part of who i am. life is a gift from god. and from beginning end we need to respect it and err on the side of life. and so i defunded plannedparenthood. we created a climate where parental notification took place. we were the only state to fund crisis pregnancy centers with state moneys. we were totally focused on this. and i would bring that kind of philosophy to washington, d.c. so here is a solution to this. title x of the hhs funding, there is something that was the reagan rule. it was passed in 1988. and in that rule it was defined, and the courts approved this, that a plannedparenthood, you couldn't separate the money between the actual abortion procedures, and there are 330,000 abortions that take place in this clinic, and their promotion of it. he interpreted it the right way, the courts ruled in his favor, and plannedparenthood did not get funding during that time until president clinton came in.",
2015,gop,2,BUSH," when i'm elected president, we will restore that interpretation of title x. and this deal will be finished. there are 13,000 community-based organizations that provide health services to women, 13,000 in this country. i don't believe that plannedparenthood should get a penny from the federal government. those organizations should get funding, just as i increased funding when i was governor of the state. that's the way you do this is you improve the condition for people. and, donald, when i was governor, we also increased the opportunities for women. women's income grew three times faster than the national average when i was governor. we improved we improved  we increased child support we increased child support with a broken system by 90 percent. i have a proven record. i have a proven record. he did, he did. you're proud of your family, just as i am. to subject my wife into the middle of a raucous political conversation was completely inappropriate, and i hope you apologize for that, donald.",
2015,gop,2,BUSH," she is. she's fantastic. she is absolutely the love of my life, and she's right here  and why don't you apologize to her right now. yeah. so, here's the deal. my wife is a mexican-american. she's an american by choice. she loves this country as much as anybody in this room, and she wants a secure border. but she wants to embrace the traditional american values that make us special and make us unique. we're at a crossroads right now. are we going to take the reagan approach, the hopeful optimistic approach, the approach that says that, you come to our country legally, you pursue your dreams with a vengeance, you create opportunities for all of us? or the trump approach? the approach that says that everything is bad, that everything is coming to an end. i  i'm on the reagan side of this. look, first of all, i wrote a book about this, three four years ago, now. and i laid out a comprehensive, conservative approach for immigration reform. and it does require securing the border. no one disagrees with that.",
2015,gop,2,BUSH," but to build a wall, and to deport people half a million a month would cost hundreds of billions of dollars, donald. hundreds of billions of dollars. it would destroy community life, it would tear families apart. and it would send a signal to the rest of the world that the unitedstates values that are so important for our long-term success no longer matter in this country. well, i've been speaking english here tonight, and i'll keep speaking english. but the simple fact is, if a highschool kid asks me a question in spanish, a school by the way, a voucher program that was created under my watch, the largest voucher program in the country, where kids can go to a christian school, and they ask me a question in spanish, i'm going to show respect and answer that question in spanish. even though they do speak english, and even though they embrace american values. yeah. well, first of all, hugh, if you're looking at republican advisers, you have to go to the last two administrations. that happened to be 41 and 43.",
2015,gop,2,BUSH," so just by definition, if you're and many of the people here that are seeking advice from the foreignpolicy experts in the republican side, they they served in my dad's administration, my brother's administration. of course that's the case. but i'm my own man. i'm going to create a strategy that is based on the simple fact that the unitedstates needs to lead the world. the first thing that we need to do is to stop the craziness of the sequester. rebuild our military so that our so that we don't deploy people over and over again without the necessary equipment to keep them safe, to send a signal to the world that we're serious. if we're going to lead the world, then we need to have the strongest military possible. we need to rebuild our counterintelligence and intelligence capabilities. we need to focus on the fact that the next president is going to start in 2017, not in 1990 you know, 30 years ago, or when my brother started. the world is dramatically different. and i believe that we need to restore america's presence and leadership in the world.",
2015,gop,2,BUSH," name a country where our relationship is better today than it was the the day that obama got elected president. under clinton, and obama, we have seen a weakness that now creates huge problems for the next president of the unitedstates. so i'll have a team that will be that will be following the doctrine i set up, and it will be peace through strength. we're sitting here in this library, which is a wonderful place to talk about this, because that's exactly what happened in the 1980s, and the world was a lot safer because of  the leadership of ronald reagan and my     so you the the first chance  right after me, and then i'll i'll yield yield the floor. what do you guys say in the senate when you're talking and debating? here's the facts: when trump talks about judgment, what was his position on who would've been the best negotiator to deal with iran? it wasn't a republican; it was clinton. that's what you believe. i mean, the lack of judgment and the lack of understanding about how the world works is really dangerous in this kind of time that we're saying.",
2015,gop,2,BUSH," so is that the judgment that you bring to the table, that clinton is a great negotiator, that she could bring about a better deal on iran? you know what? as it relates to my brother, there's one thing i know for sure. he kept us safe. i don't know if you remember donald you remember the the rumble? you remember the fire fighter with his arms around it? he sent a clear signal that the unitedstates would be strong and fight islamic terrorism, and he did keep us safe. that's that's my brother. here's the lessons of history: when we we pull back, voids are created. we left iraq. we should've had a a forces agreement to stay there with a small force, and instead of that, we politically and militarily pulled back, and now we have the creation of isis. 36 days ago in this very library, i gave a speech with a comprehensive strategy how to take out isis, and it requires american leadership and engagement. we don't have to be the world's policemen. but we certainly have to be the world's leader.",
2015,gop,2,BUSH," we need to have make sure that the world knows that we're serious, that we're engaged, that we're not going to pull back, that that our that our word matters. and if we do that, we can create a force that will take out isis both in iraq and in syria, which will take a lot longer time now because of what obama's done by pulling back. well, i'm surprised senator cruz would say that since he was as strong supporter of john roberts at the time. i will talk about what i will do as it relates to appointing supreme court justices. we need to make sure that we have justices that, with a proven experienced record of respect for upholding the constitution. that is what we need. we can't have the history in recent past is appoint people that have no experience so that you can't get attacked. and, that makes it harder for people to have confidence that they won't veer off  john roberts has made some really good decisions, for sure, but he did not have a proven, extensive record that would have made the clarity the important thing, and that's what we need to do.",
2015,gop,2,BUSH," and, i'm willing to fight for those nominees to make sure that they get passed. you can't do it the politically expedient way anymore. this is the culture in washington. you have to fight hard for these appointments. this is perhaps the most important thing that the next president will do. well, first of all, he, as i said, supported john roberts. he supported him, publicly. so, you can rewrite history, i guess, ted, but the simple fact is that you supported him because he had all the criteria that you would have thought would have made a great justice. and, i think he is doing a good job. but, the simple fact is that going forward, what we need to do is to have someone that has a long standing set of rulings that consistently makes it clear that he is a focused, exclusively on upholding the constitution of the unitedstates so they won't try to use the bench as a means to which legislate. he was talking about me. well, i i wanted to be make it easier for him. and i just did. so, 40 years ago, i smoked marijuana, and i admit it.",
2015,gop,2,BUSH," i'm sure that other people might have done it and may not want to say it in front of 25 million people. my mom's not happy that i just did. that's true. and here's the deal. here's the deal. we have we have a serious epidemic of drugs that goes way beyond marijuana. what goes on in colorado, as far as i'm concerned, that should be a state decision. but if you look at the problem of drugs in this in this society today, it's a serious problem. rand, you know this because you're campaigning in new hampshire like all of us, and you see the epidemic of heroin, the overdoses of heroin that's taking place. people's families are are being torn apart. it is appropriate for the government to play a consistent role to be able to provide more treatment, more prevention we're the state that has the most drug courts across every circuit in in in florida, there are drug courts to give people a second chance. that's the best way to do this. no, you're wrong you're wrong about this. i don't want to put poor people in jail, randy.",
2015,gop,2,BUSH," here's the deal. no, i did not oppose when the legislature passed the bill to deal with that very issue. that's the way to solve this problem. medical marijuana on the ballot was opened up, there was a huge loophole, it was the first step to getting to a (inaudible) place. and as a citizen of florida, i voted no. not very far. i think we need to do this state by state. there are places that get this right, and we need to make sure that we protect the privacy laws. this is a complicated place. but i do think the natural impulse on the left clinton, immediately after one of these horrific violent acts took place, immediately said we need to have federal gun laws. obama almost reflexively always says the same thing. and the net result is, you're going to take away rights of of law-abiding citizens, the 99.999 percent of the people that are law- abiding citizens. that's not the right approach to do it. in florida, we have a background check. we have concealed-weapon permit holders, and in fact, there's 1,200,000 of them.",
2015,gop,2,BUSH," we have a reduction in violent crime because we put people behind bars when they use a gun in the commission of the crime. that's the better approach. but we're living in a society today where despair kind of grows in isolation. i i think there needs to be a hearing, but the fact is, we need to encourage that kind of involvement. that's that's exactly what we need to do. i would go with ronald reagan's partner, margaret thatcher. probably illegal, but what the heck? since it's not going to happen. a strong leader is what we need in the whitehouse, and she certainly was a strong leader that restored the united kingdom into greatness. ever ready, it's very high energy, donald. six million more people are living in poverty than the day that obama got elected president. six million more people. the middleclass has had declining income, workforce participation rates are lower than they were in 1977. for the first time in modern history, more businesses are failing than are being created.",
2015,gop,2,BUSH," that is what the next president will have to deal with. and i believe we can reverse course by creating a strategy of high sustained economic growth, not the new normal of 2 percent that all the left says we just have to get used to, but a 4 percent growth strategy where we reform how we tax, fix the broken regulatory system, embrace the energy revolution in our midst, fix the immigration system so we can turn it into an economic driver, deal with the structural fiscal problems that exist because of our entitlement problems that will overwhelm and create way too much debt. if we grow at 4 percent, people are going to be lifted out of poverty. the great middle that defines our country will have a chance to be able to pursue their dreams as they see fit. that should be the great challenge and the great opportunity for the next president of the unitedstates, to forge consensus to go back to a high-growth strategy. and then we'll be able to lead the world. without a high-growth strategy, our country will never have the resources or the optimism to be able to lead the world, which the world desperately needs our leadership.",
2015,gop,2,BUSH,,
2015,gop,2,CARSON,"  hi, i'm carson, and i'm a retired pediatric neurosurgeon. i'm here with my wife, candy, of 40 years, and two of my sons, and their wives. i stress the pediatric part of my career because the reason that i've gotten involved in this race is because i'm very concerned about the future of our children, and the direction of our country is one that does not portend well, unless we, the people, intervene and retake our rightful place at the pinnacle. and i just want to be make it clear that i'm grateful to be here with all of you again, and welcome the addition of fiorina, as well. jake, can i say something about that? you know, when i entered this race, all the political pundits said it's impossible; you can't do it because you're not connected with the money. and there's no way that you can raise what you need in order to compete successfully. i in no way am willing to get in the bed with special interest group or lick the boots of billionaires. i have said to the people if they want me to do this, please get involved.",
2015,gop,2,CARSON," and we now have over 500,000 donations, and the money is coming in. but the pundits forgot about one thing, and that is the people. and they are really in charge. well, first of all, i recognize that we have an incredible illegal immigration problem. i was down in arizona a few weeks ago at the border. i mean, the fences that were there were not manned, and those are the kind of fences when i was a kid that would barely slow us down. so, i don't see any purpose in having that. now, what we need to do is look at something that actually works. yuma county, arizona. they stop 97 percent of the illegal immigrants through there. they put in a double fence with a road so that there was quick access by the enforcement people. if we don't seal the border, the rest of this stuff clearly doesn't matter. it's kind of ridiculous all the other things we talk about. we have the ability to do it, we don't have the will to do it. there was one area where they had cut a hole in the fence, and to repair it, they put a few strands of barb wire across.",
2015,gop,2,CARSON," well, the photographers who were there with us, they wanted to photograph us from the side of the mexicans, and they went through there, and they were not physically fit people, and they took their cameras and things with them, and shot us from the other side. that's how easy it is to get across. and, the drugs, i mean, it goes on, and on, and on. ice tells them to release these people, 67,000 criminals released   on to our property, it's ridiculous. well, i have also said, if anybody knows how to do that, that i would be willing to listen. and, if they can, you know, specify exactly how that's going to be done, and what the cost, and it sounds reasonable, then i think it's worth discussing   trump(? ):  (inaudible)  not exactly what i said. well, what i said, after we seal the borders, after we turn off the spigot that dispenses all the goodies so we don't have people coming in here, including employment, that people who had a pristine record, we should consider allowing them to become guest workers, primarily in the agricultural sphere, because that's the place where americans don't seem to want to work.",
2015,gop,2,CARSON," that's what i said. and they have a six-month period to do that. if they don't do it within that time period, then they become illegal, and as illegals, they will be treated as such. can i can i can i just  can i correct  ok.  my plan is not amnesty for a number of reasons. number one, you know, i've talked to farmers, and they said they cannot hire americans to do the kind of job that i'm talking about. and the second reason is because the individuals who register as guest workers, they don't get to vote, they are not american citizens, and they don't get the rights and privileges of american citizens. so that's key. but the other thing that i want to bring up is, i mentioned something earlier. i think it was just sort of glossed over. i talked about the success in yuma county, i mean, incredible success, and the department of justice said, no, we don't want to do that. that's too successful. we don't have to keep reinventing the wheel. all we have to do is look at things that work. all we have to do is use a little common sense.",
2015,gop,2,CARSON," it's all about america. you know, the people who say the guy who paid a billion dollars because he had 10, he has still got $9 billion left, that's not fair, we need to take more of his money. that's called socialism. that doesn't work so well. what made america into a great nation was the fact that we said, that guy just put in $1 billion, let's create an environment that's even more conducive to his success so that next year he can put in $2 billion. and that's the kind of thing that helps us to grow. we can't grow by continuing to take a piece of pie, and dividing it, and redistributing it. but, i'm also looking at what doctor at what governor huckabee talked about  the fair tax. looking at both of them, and evaluating them both, and i'm talking to the americanpeople because one of the things we must recognize is that this country is of, for, and by the people. and, it's really time that the government get out of the way, and let the people be the ones who decide how they want to run their country.",
2015,gop,2,CARSON," well, first of all, let me say what i actually said about raising the minimum wage. i was asked should it be raised, i said, probably, or possibly. but, what i added, which i think is the most important thing, so, i said we need to get both sides of this issue to sit down, and talk about it. negotiate a reasonable minimum wage, and index that so that we never have to have this conversation again in the history of america. i think we also have to have two minimum wages, a starter, and a sustaining because how are young people ever going to get a job if you have such a high minimum wage that it makes it impractical to hire them  jake, jake  i haven't had an opportunity to weigh in on foreignpolicy, and i just want to mention that when the war, when the issue occurred in 2003, i suggested to president bush that he not go to war? ok. so i just want that on the record. and, you know, a lot of people are very much against us getting involved right now with global jihadism. and they refer back to our invasion of iraq.",
2015,gop,2,CARSON," and they seem to think that that was what caused it. what caused it was withdrawing from there and creating a vacuum which allowed this terrible situation to occur. but it is very different from what is going on today. we're talking about global jihadists who actually want to destroy us. they are an existential threat to our nation. and we have to be mature enough to recognize that our children will have no future if we put our heads in the sand. we have to recognize we have two choices. we either allow them the continue to progress and appear to be the winners, or we use every resource available to us to destroy them first. well, recognize that, you know, president george w. bush is a great friend of ours, and we spent many wonderful days at the whitehouse. i haven't been there in the last seven years. i probably have to have a food-tester. but at any rate, i didn't suggest that nothing be done. what i suggested to president bush is to be kennedy-esque, in the sense that when the russians got ahead of us in the space race, what we did is use the bully pulpit to galvanize everybody, business, industry, academia behind a national goal to put a man on the moon and bring him back safely.",
2015,gop,2,CARSON," i said, you can do the same kind of thing. declare that within five to 10 years we will become petroleum independent. the moderate arab states would have been so concerned about that, they would have turned over osama bin laden and anybody else you wanted on a silver platter within two weeks. there are smart ways to do things and there are muscular ways to do things. and sometimes you have to look at both of those to come up with the right solution. i have no argument with having a strong leader, and to be aggressive where aggression is needed. but it is not needed in every circumstance. there is a time when you can use your intellect to come up with other ways to do things. and i think that's what we have to start thinking about. there is no question that a lot of these problems that we have been talking about in terms of the international situation is because we are weak. it is because our navy is so small. it is because our air force is incapable of doing the same things that it did a few years ago.",
2015,gop,2,CARSON," it's because our marines corps is not ready to be deployed. there are a lot of problems that are going on, and we need to solve those problems, we need to build up our military  well, let me put it this way, there has there have been numerous studies, and they have not demonstrated that there is any correlation between vaccinations and autism. this was something that was spread widely 15 or 20 years ago, and it has not been adequately, you know, revealed to the public what's actually going on. vaccines are very important. certain ones. the ones that would prevent death or crippling. there are others, there are a multitude of vaccines which probably don't fit in that category, and there should be some discretion in those cases. but, you know, a lot of this is is is pushed by biggovernment. and i think that's one of the things that people so vehemently want to get rid of, biggovernment. you know, we have 4.1 million federal employees. six hundred and fifty federal agencies and department (sic).",
2015,gop,2,CARSON," that's why they have to take so much of our taxes. well, you know, i've just explained it to him. he can read about it if he wants to. i think he's an intelligent man and will make the correct decision after getting the real facts. he's an ok doctor. but, you know, the fact of the matter is, we have extremely well-documented proof that there's no autism associated with vaccinations. but it is true that we are probably giving way too many in too short a period of time. and a lot of pediatricians now recognize that, and, i think, are cutting down on the number and the proximity in which those are done, and i think that's appropriate. i'd put my mother on there. you know, she was one of 24 children, got married at age 13, had only a third grade education, had to raise two sons by herself, refused to be a victim. wouldn't let us be victims, and has been an inspiration to many people. one nation. well, you know, i was a radical democrat before i started listening to ronald reagan. and he didn't sound like what they said republicans were.",
2015,gop,2,CARSON," he sounded logical. and i hope that i sound logical also. because when i look at what is going on with the unitedstates of america, i see a lot of things that are not logical. i see us allowing people to divide us, when in fact our strength is in our unity. i see people exercising the most irresponsible fiscal habits that anyone could possibly do. and hiding it from the americanpeople, so that the majority of people have no idea what our financial situation is. so, when someone comes along and says, free college, free phones, free this and that, and the other, they say, wow, that's nice, having no idea that they're destabilizing our position. and i think also that ronald reagan was a master at understanding that a pinnacle nation has to be a nation that leads. if we learn to lead in the middle east right now, a coalition will form behind us, but never they do it if we just sit there and talk about it. real leadership is what i would hopefully bring to america.",
2015,gop,2,CHRISTIE,"  hi, my name is christie, and i'd like to you take the camera off me and put it on the audience because i'd like to ask all of you, how many of you, raise your hand, believe that in today's barak obama america your children will have a better life than you've had? you see? that's why i'm running for president. because leadership is not about me, it's about our country. and, what we talk about tonight, it's not about us, it's about the people in the audience tonight, because in seven short years this president has stripped away their trust, and their faith, and their belief that the next generation will have a better life. he's stolen that from us, and when i'm president, i'm going to take it back. see, jake, it wasn't me. i was    she is, and so if she, based on conscience, can't sign that that marriage license, then there should be someone in her office to be able to do it, and if the law needs to be changed in the state of kentucky, which is what she's advocating, it should be changed.",
2015,gop,2,CHRISTIE," we're not what i can tell you is this. we didn't surrender in newjersey, six years ago, as the brand new first ever pro-life governor of newjersey since roe versus wade, i defended plannedparenthood. and i've vetoed plannedparenthood funding, now, eight times in newjersey. since the day i walked in as governor, plannedparenthood has not been funded in newjersey. we stood up and every one of those vetoes has been sustained. but here's the problem, we're we're fighting with each other up here. we agree. let's ask clinton. she believes in the systematic murder of children in the womb to preserve their body parts   dana, in a way that maximizes their value for sale for profit. it is disgusting, and the americanpeople need to hear it   we shouldn't be fighting with each other. she's the real opponent, she's the real problem. i'll tell you what i'll tell you what i'd be willing to fight for. i'll tell you what i'd be willing to fight for. why will (ph) we put tax reform on the president's desk, so we can simplify this tax system?",
